id;client_id;card_brand;card_type;card_number;expires;cvv;has_chip;num_cards_issued;credit_limit;acct_open_date;year_pin_last_changed
4524;825;Visa;Debit;4344676511950440;01-12-2022;623;YES;2;24295,00;01-09-2002;2008
2731;825;Visa;Debit;4956965974959990;01-12-2020;393;YES;2;21968,00;01-04-2014;2014
3701;825;Visa;Debit;4582313478255490;01-02-2024;719;YES;2;46414,00;01-07-2003;2004
42;825;Visa;Credit;4879494103069060;01-08-2024;693;NO;1;12400,00;01-01-2003;2012
4659;825;Mastercard;Debit (Prepaid);5722874738736010;01-03-2009;75;YES;1;28,00;01-09-2008;2009
4537;1746;Visa;Credit;4404898874682990;01-09-2003;736;YES;1;27500,00;01-09-2003;2012
1278;1746;Visa;Debit;4001482973848630;01-07-2022;972;YES;2;28508,00;01-02-2011;2011
3687;1746;Mastercard;Debit;5627220683410950;01-06-2022;48;YES;2;9022,00;01-07-2003;2015
3465;1746;Mastercard;Debit (Prepaid);5711382187309330;01-11-2020;722;YES;2;54,00;01-06-2010;2015
3754;1746;Mastercard;Debit (Prepaid);5766121508358700;01-02-2023;908;YES;1;99,00;01-07-2006;2012
5144;1718;Mastercard;Debit;5495199163052050;01-03-2022;677;YES;2;31599,00;01-10-2009;2009
2029;1718;Mastercard;Debit;5804499644308600;01-07-2023;258;NO;2;27480,00;01-03-2002;2008
2379;1718;Mastercard;Debit;5766352389579830;01-02-2020;992;YES;1;26743,00;01-03-2019;2019
2732;1718;Visa;Debit;4242015583697290;01-06-2020;928;YES;1;31463,00;01-04-2014;2014
4706;1718;Mastercard;Debit;5191030913182490;01-06-2024;360;YES;1;16055,00;01-09-2009;2009
281;708;Visa;Credit;4017261190134820;01-05-2015;877;YES;2;98100,00;01-01-2011;2011
1106;708;Mastercard;Debit (Prepaid);5581970288727990;01-06-2020;448;YES;1;62,00;01-02-2007;2007
5621;708;Visa;Debit;4032240655674500;01-06-2022;53;YES;1;132439,00;01-11-2010;2011
5165;708;Visa;Debit;4935974646456360;01-06-2020;649;YES;1;125723,00;01-10-2009;2010
5757;1164;Mastercard;Debit;5905027855347660;01-01-2022;886;YES;1;34900,00;01-12-1999;2012
27;68;Visa;Credit;4099623033306950;01-09-2021;74;YES;2;9900,00;01-01-2002;2019
4648;68;Visa;Debit;4281200324251210;01-07-2013;865;YES;2;21587,00;01-09-2007;2007
5435;68;Visa;Credit;4411456925570770;01-11-2022;922;YES;2;15800,00;01-11-2005;2011
3287;1075;Mastercard;Debit;5202477865497340;01-04-2022;861;YES;1;29964,00;01-06-2005;2014
4761;1075;Mastercard;Credit;5089768442116300;01-07-2023;686;YES;2;11200,00;01-09-2010;2010
5286;1075;Mastercard;Debit;5767339719294370;01-12-2021;669;NO;2;26753,00;01-10-2014;2014
744;1711;Visa;Debit;4595831603224640;01-05-2023;689;NO;2;17480,00;01-01-2020;2020
5559;1116;Mastercard;Debit;5341049613275150;01-09-2021;396;YES;2;26546,00;01-11-2009;2009
4905;1116;Mastercard;Debit;5668831527649350;01-01-2021;356;YES;1;23253,00;01-09-2017;2017
79;1116;Visa;Credit;4400056931148230;01-02-2021;497;YES;1;16100,00;01-01-2005;2014
301;1116;Visa;Credit;4808554251869440;01-02-2021;921;YES;2;8700,00;01-01-2012;2012
3115;1116;Mastercard;Debit;5224739362243610;01-01-2019;922;YES;1;29333,00;01-05-2012;2012
3880;1752;Mastercard;Debit;5294178176133530;01-07-2024;265;YES;2;9496,00;01-07-2009;2012
1766;192;Visa;Debit;4857799018106610;01-07-2021;930;YES;1;25499,00;01-02-2020;2020
1767;192;Visa;Debit;4324062360619920;01-02-2020;358;YES;1;18641,00;01-02-2020;2020
745;640;Visa;Debit;4852639114720720;01-05-2023;995;YES;1;26019,00;01-01-2020;2020
